date,temperature_2m_above_ground,specific_humidity_2m_above_ground,relative_humidity_2m_above_ground,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground,precipitable_water_entire_atmosphere,total_precipitation_surface,city,ACond_tavg,AvgSurfT_tavg,CanopInt_tavg,ECanop_tavg,ESoil_tavg,EvapSnow_tavg,Evap_tavg,GWS_tavg,Lwnet_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qsm_tavg,Qs_tavg,SnowDepth_tavg,SnowT_tavg,SoilMoist_P_tavg,SoilMoist_RZ_tavg,SoilMoist_S_tavg,SWE_tavg,Swnet_tavg,TVeg_tavg,TWS_tavg,year,population,water_availability
2022-01-20,12.583024702148483,0.0039966137917513,41.768898014108885,0.3447824614776311,0.4841078775207784,15.791369503158764,,Algeirs,0.0118992522436504,282.80218327840174,0.005050500674406,1.718417250273774e-07,6.852598181694702e-06,0.0,8.836493930175494e-06,659.3322186787923,-65.85689350763957,-5.595487384001413,26.44930822054545,21.79521628220876,0.0,1.2174040727360354e-08,0.0,282.80218327840174,886.7716044108073,227.43933715820316,4.596157391866048,0.0,108.5071228345235,1.8120545774991117e-06,886.7765764872232,2022,2854000,28106417752.25565
2022-01-21,13.545964176435394,0.0063046717702601,61.76326963195116,0.0876217888944449,-0.4580016695822397,14.79460146053002,,Algeirs,0.0170597054529935,283.35518366495774,0.016883607651107,5.406687266192496e-07,7.115271718779089e-06,0.0,9.428055682292324e-06,658.7311696370442,-66.56755577723186,-2.594909933209419,23.845148960749302,23.254301651318865,0.0,4.498021872005135e-08,0.0,283.35518366495774,885.7665372212728,227.0354050954183,4.593923516074816,0.0,111.07697099049886,1.7721147121581753e-06,885.7834233601889,2022,2854000,28074220544.167435
2022-01-22,14.938717573593284,0.0072524379072465,65.00764177834105,0.1305207470494756,1.7152218496505809,20.885333334230964,,Algeirs,0.0254411500024919,283.41928621927894,0.0362724068885048,2.3059822889119154e-06,7.156954164126243e-06,0.0,1.0569411817111054e-05,658.1165354410808,-50.98261793454488,-6.1408221085866295,15.24731759230296,26.06945589383443,0.0,7.453673571689023e-08,0.0,283.41928621927894,884.9583653767902,226.8418799082438,4.613753946622213,0.0,86.15438814163207,1.1064750815137357e-06,884.9946609497069,2022,2854000,28048649515.117485
2022-01-23,13.676826578324302,0.0075232180253071,73.7267386630048,1.0170940237209365,0.24088199816452,15.34581438306014,,Algeirs,0.025787680169257,283.4011304219564,0.0061012396588921,1.721847439147458e-07,8.338395177058071e-06,0.0,1.0301492238795618e-05,657.4984573364259,-73.60964190165201,-4.0218858857949575,19.386961142222084,25.40862668355306,0.0,1.2284391324538882e-08,0.0,283.4011304219564,883.871900431315,226.37339070638023,4.55223894417286,0.0,114.3842114130656,1.7909108772566163e-06,883.8779774983723,2022,2854000,28012447555.44723
2022-01-24,10.883068879695864,0.0057971589095327,68.85993193979367,0.6408187234609815,-1.7038970983681547,10.673223797177904,,Algeirs,0.022330027911812,283.9598560333252,0.0053318499141217,1.5250954845669182e-07,9.140346226862068e-06,0.0,1.1390088411644684e-05,656.8673581441244,-74.35282951990763,-1.6546374579270682,13.534436031182606,28.093655141194663,0.0,9.076893998002007e-10,0.0,283.9598560333252,882.6640680948893,225.7965658823649,4.531195773681005,0.0,114.32776940663656,2.097231764726833e-06,882.6692494710287,2022,2854000,27973261586.27584
2022-01-25,9.741859971189797,0.0054513852014385,70.35164753146363,-0.266070897740568,-1.4120522012088614,9.581061791371608,,Algeirs,0.0295857147856925,284.4174036661784,0.0017975243172259,3.868755951893141e-08,1.0096141189327077e-05,0.0,1.2250212758620666e-05,656.2139322916668,-76.64628121058145,-1.204544679323832,11.13583350976308,30.215147439638777,0.0,3.229086029815641e-10,0.0,284.4174036661784,881.3524403889974,225.13836091359457,4.50092737476031,0.0,116.79418954849244,2.115383603988145e-06,881.3541013081867,2022,2854000,27930625563.780197
2022-01-26,9.232176718787128,0.0048135440585036,64.54667750981179,-0.255170976983051,-1.1251568921882686,8.754354109685758,,Algeirs,0.0199194477094958,285.46096369425453,0.000680762303575951,3.952225959465613e-09,1.080677755377716e-05,0.0,1.362171819512999e-05,655.5349042256673,-73.43700380325318,0.9543573468923569,6.0262171626091,33.5979641199112,0.0,0.0,0.0,285.46096369425453,879.9071212768554,224.3722330093384,4.469478577375411,0.0,114.0161122639974,2.8109867628245407e-06,879.9078221638997,2022,2854000,27883738382.645
2022-01-27,8.41585881893579,0.0047630304586107,67.69273117319057,-0.2583632775594169,-0.9288488027884348,6.810601168167718,,Algeirs,0.0189095014318202,284.8226018269857,0.0004473408025660319,1.7587650308348303e-09,1.0372002138107443e-05,0.0,1.305926327101285e-05,654.8248608907064,-81.92365210851032,-4.56114997069041,10.898590417702993,32.2106752316157,0.0,0.0,0.0,284.8226018269857,878.4239199320475,223.5990271250407,4.452166585127513,0.0,120.46816457112632,2.685503270072332e-06,878.4243354797362,2022,2854000,27835644963.64854
2022-01-28,8.615127147566426,0.004309570918929,60.59529577516531,-0.284677019338312,-0.7901122209209227,6.164300036973203,,Algeirs,0.0176362330093979,283.72885983784994,0.0003397804024037517,9.416962142942224e-10,8.767379010047685e-06,0.0,1.1142393759655532e-05,654.0849123636882,-82.71605863571165,-7.748301992813746,19.457074602444965,27.482712324460348,0.0,0.0,0.0,283.72885983784994,877.1145065307617,223.02966130574544,4.464482529958089,0.0,121.90304187138877,2.3740725187811523e-06,877.1149276733398,2022,2854000,27793195038.790764
2022-01-29,9.759565431953371,0.0035778138114293,46.43688834755495,-0.1742536654800467,0.0073799099283889,6.930352732035762,,Algeirs,0.0099729124068592,282.62326049804693,0.00027735507549853843,5.039645571229083e-10,8.257724698523816e-06,0.0,1.05386964188862e-05,653.3243143717448,-80.85538984934487,-9.527574668327969,27.428551451365152,25.99369676113129,0.0,0.0,0.0,282.62326049804693,875.8918815612792,222.5676001230876,4.462827396392822,0.0,124.75034189224245,2.2804694234916198e-06,875.8922093709309,2022,2854000,27753555516.400616
